Rank,Polish,English,,Notes
664,policja,Police,,
665,strony,page,,
666,l,l,,
667,pl,en,,
668,mogłem,I could,,
669,mieli,they had,,
670,widzenia,view,,
671,pewna,a,,
672,ruszaj,go,,
673,wracaj,come back,,
674,ode,from,,
675,popatrz,look,,
676,końca,end,,
677,plan,plan,,
678,kiedykolwiek,ever,,
679,wejść,input,,
680,została,she stayed,,
681,rok,year,,
682,syna,son,,
683,uda,thighs,,
684,wrócę,return,,
685,zewnątrz,outside,,
686,droga,way,,
687,uwierzyć,believe,,
688,późno,late,,
689,zostało,was,,
690,zostanie,will be,,
691,zły,bad,,
692,kapitanie,Captain,,
693,potrzebujemy,We need,,
694,byliśmy,we were,,
695,zobaczymy,see,,
696,gotowy,ready,,
697,obchodzi,celebrates,,
698,jechać,drive,,
699,rodziny,families,,
700,widziałam,I saw,,
701,drodze,way,,
702,czeka,waiting,,
703,środku,the middle,,
704,film,movie,,
705,spać,sleep,,
706,człowiekiem,human,,
707,zupełnie,quite,,
708,taa,taa,,
709,pomóż,help,,
710,mieliśmy,we had,,
711,pomoc,help,,
712,słowo,word,,
713,innym,other,,
714,ostatnio,lately,,
715,and,and,,
716,zna,know,,
717,mogła,could,,
718,pójść,go,,
719,chłopcy,boys,,
720,wziąć,take,,
721,mógłbyś,could,,
722,tłumaczenie,translation,,
723,potrzebujesz,need,,
724,słyszysz,hear,,
725,blisko,near,,
726,godzin,hours,,
727,miłości,love,,
728,góry,mountains,,
729,zabił,killed,,
730,piękna,beautiful,,
731,napisów,subtitle,,
732,pokaż,show,,
733,moi,my,,
734,lubi,likes,,
735,robota,job,,
736,prawa,rights,,
737,ciężko,hard,,
738,kimś,someone,,
739,dół,bottom,,
740,rękę,hand,,
741,nazywam,My name is,,
742,wielkie,great,,
743,część,Hello,,
744,wkrótce,soon,,
745,naszą,our,,
746,jedziemy,we drive,,
747,zapomnij,forget,,
748,prosto,straight,,
749,radę,counsel,,
750,robimy,we do,,
751,powinnaś,should,,
752,gdybyś,if you,,
753,chociaż,although,,
754,zależy,depends,,
755,stronie,website,,
756,wypadek,accident,,
757,tydzień,week,,
758,byłaś,you were,,
759,nowe,new,,
760,małe,small,,
761,praca,job,,
762,drogę,way,,
763,chłopak,boy,,
764,zrobi,do,,
765,widział,seen,,
766,mieście,city,,
767,synu,son,,
768,oznacza,means,,
769,krew,blood,,
770,mógłby,could,,
771,krwi,blood,,
772,górę,up,,
773,joe,joe,,
774,wasza,yours,,
775,robią,do,,
776,tędy,this way,,
777,wszędzie,everywhere,,
778,temat,topic,,
779,pierwsze,first,,
780,zobacz,see,,
781,ponad,more than,,
782,kraju,country,,
783,mało,little,,
784,racja,right,,
785,tymi,these,,
786,cicho,quietly,,
787,chciała,He wanted,,
788,powiedziałam,I said,,
789,leci,flies,,
790,powinno,should,,
791,mówiąc,speaking,,
792,serca,hearts,,
793,chciałabym,I would like to,,
794,miasto,city,,
795,george,george,,
796,spotkać,meet,,
797,mniej,less,,
798,e,e,,
799,przyjaciel,friend,,
800,mówiłeś,you said,,
801,kłopoty,troubles,,
802,miesięcy,months,,
803,jakąś,some,,
804,żaden,no,,
805,zostań,Become,,
806,roboty,robots,,
807,zatrzymać,stop,,
808,frank,franc,,
809,nieważne,does not matter,,
810,głupi,stupid,,
811,pa,pa,,
812,koleś,dude,,
813,sprawie,case,,
814,spotkanie,meet,,
815,ojcze,father,,
816,pewnego,some,,
817,spróbuj,try,,
818,drugi,second,,
819,znalazłem,I found,,
820,pracować,work,,
821,całym,All,,
822,zostały,left,,
823,złe,wrong,,
824,niemożliwe,impossible,,
825,jakoś,somehow,,
826,zdjęcia,pictures,,
827,stronę,page,,
828,wiedzą,knowledge,,
829,it,it,,
830,dziewczynę,girl,,
831,zaczyna,begins,,
832,mogli,could,,
833,samego,the same,,
834,sądzisz,do you think,,
835,rodzina,family,,
836,razu,immediately,,
837,trudno,difficult,,
838,samochodu,car,,
839,okay,okay,,
840,boję,I'm scared,,
841,szkoda,detriment,,
842,wami,you,,
843,charlie,charlie,,
844,dał,gave,,
845,środka,agent,,
846,ojcem,father,,
847,piękne,beautiful,,
848,dawno,long ago,,
849,choć,though,,
850,panem,Mr.,,
851,przykład,example,,
852,nagle,suddenly,,
853,bracie,brother,,
854,żadnej,any,,
855,drugiej,second,,
856,przyjaciół,friends,,
857,otwórz,open,,
858,myśleć,think,,
859,doktor,doctor,,
860,chwileczkę,just a moment,,
861,pracuje,working,,
862,najlepszy,best,,
863,brata,brother,,
864,czyż,is it,,
865,często,often,,
866,http,http,,
867,powinnam,should,,
868,odejść,leave,,
869,trzech,three,,
870,chodźcie,Cannes,,
871,nazwisko,name,,
872,szansę,chances,,
873,ciała,the body,,
874,policji,police,,
875,szkole,School,,
876,prawdopodobnie,probably,,
877,serio,seriously,,
878,matki,mother,,
879,org,org,,
880,wolno,slow,,
881,sami,themselves,,
882,muszą,must,,
883,zabierz,take,,
884,słyszałeś,did you hear,,
885,siostra,sister,,
886,uspokój,calm down,,
887,wystarczająco,enough,,
888,początku,early,,
889,faceta,man,,
890,problemy,issues,,
891,szefie,boss,,
892,broni,weapon,,
893,me,me,,
894,zostawić,leave,,
895,czuje,feels,,
896,będziecie,you will,,
897,przyszedł,came,,
898,wiedziałam,I knew,,
899,kilku,several,,
900,inni,others,,
901,b,b,,
902,głowie,head,,
903,historia,history,,
904,według,according,,
905,www,website,,
906,wezmę,I will take,,
907,nowym,new,,
908,czekać,wait,,
909,stój,halt,,
910,mężczyzna,man,,
911,mówiłam,I told,,
912,pokazać,show,,
913,około,about,,
914,wracam,back,,
915,wieku,century,,
916,jakaś,some,,
917,pierwsza,first,,
918,niczym,like,,
919,zabiję,kill,,
920,zdjęcie,picture,,
921,zabawne,funny,,
922,rodzice,parents,,
923,musiałem,I had to,,
924,całkowicie,fully,,
925,sprawdzić,check,,
926,mike,mike,,
927,przyjdzie,will come,,
928,sześć,six,,
929,kupić,buy,,
930,dobrym,good,,
931,żonę,wife,,
932,dasz,you give,,
933,pomoże,help,,
934,nogi,legs,,
935,obok,next to,,
936,ruszać,move,,
937,trzymać,keep,,
938,zadzwonić,call,,
939,panno,Miss,,
940,godzinę,hour,,
941,boli,it hurts,,
942,oraz,and,,
943,spokoju,peace,,
944,walczyć,fight,,
945,wróci,return,,
946,tom,volume,,
947,wspólnego,common,,
948,zmienić,change,,
949,ostatnie,last,,
950,uwagę,attention,,
951,znać,know,,
952,jednej,one,,
953,dłużej,longer,,
954,powie,tell,,
955,pogadać,talk,,
956,łatwo,easily,,
957,większość,most,,
958,nikomu,anyone,,
959,michael,michael,,
960,córka,daughter,,
961,niedługo,soon,,
962,powodzenia,Good luck,,
963,tygodniu,week,,
964,włosy,hair,,
965,niestety,unfortunately,,
966,górze,Mountain,,
967,kochasz,love,,
968,prawdziwy,real,,
969,historii,history,,
970,ulicy,street,,
971,musicie,you have,,
972,gotowi,ready,,
973,chwila,moment,,
974,samym,the,,
975,grać,play,,
976,zadzwonię,call,,
977,strasznie,awfully,,
978,mieszka,lives,,
979,kocha,love,,
980,rady,advice,,
981,tyłu,so many,,
982,jakim,what,,
983,obiecuję,I promise,,
984,tysięcy,thousands,,
985,pomyślałem,I thought,,
986,pracuję,working,,
987,jedynie,only,,
988,pozwolić,let,,
989,uwaga,attention,,
990,proste,simple,,
991,zacząć,to begin,,
992,myśl,thought,,
993,wstawaj,get up,,
994,rany,wounds,,
995,prawdziwe,real,,
996,takiej,the,,
997,jakiegoś,some,,
998,umrzeć,die,,
999,złego,bad,,
1000,okazji,opportunity,,
1001,gotowa,ready,,
1002,wasze,yours,,
1003,słyszę,I hear,,
1004,wojny,war,,
1005,wracać,return,,
1006,kobietą,woman,,
1007,brak,lack,,
1008,ziemię,Earth,,
1009,istnieje,there,,
1010,gość,guest,,
1011,widać,can be seen,,
1012,chciałeś,you wanted,,
1013,moment,moment,,
1014,przysięgam,I swear,,
1015,nienawidzę,I hate,,
1016,następny,next,,
1017,dziewczyną,girl,,
1018,zadzwoń,call,,
1019,zamiast,instead,,
1020,męża,husband,,
1021,błąd,error,,
1022,wiadomości,messages,,
1023,hey,hey,,
1024,następnym,next,,
1025,miało,was supposed to,,
1026,przyjacielem,friend,,
1027,wspaniałe,great,,
1028,duży,big,,
1029,zatrzymaj,stop,,
1030,jedź,go,,
1031,czyli,or,,
1032,młody,young,,
1033,daje,gives,,
1034,chłopcze,boy,,
1035,spróbować,taste,,
1036,przyjaciele,Friends,,
1037,zobaczysz,you will see,,
1038,ach,ah,,
1039,zwykle,usually,,
1040,głos,voice,,
1041,wreszcie,finally,,
1042,harry,harry,,
1043,same,themselves,,
1044,uważasz,you think,,
1045,najlepiej,best,,
1046,nigdzie,anywhere,,
1047,list,letter,,
1048,uważam,I think,,
1049,niby,kind of,,
1050,cie,you,,
1051,zamierzam,I'm going to,,
1052,ależ,oh,,
1053,jedzenie,food,,
1054,dziecka,child,,
1055,powiedziałaś,you tell,,
1056,zatem,therefore,,
1057,dajcie,give,,
1058,potrafię,I can,,
1059,mocno,firmly,,
1060,wrócił,he returned,,
1061,rodzinę,family,,
1062,szczęśliwy,lucky,,
1063,najlepsze,best,,
1064,widzi,sees,,
1065,zrozumieć,understand,,
1066,zajmę,take care,,
1067,zrobiła,she did,,
1068,żony,wives,,
1069,światło,light,,
1070,tyłek,ass,,
1071,łóżka,bed,,
1072,osób,people,,
1073,moglibyśmy,we could,,
1074,tacy,those,,
1075,los,moose,,
1076,jimmy,jimmy,,
1077,pewnością,certainly,,
1078,sen,dream,,
1079,wielka,huge,,
1080,david,david,,
1081,mówiła,she said,,
1082,piękny,beautiful,,
1083,przyjść,come,,
1084,dzieckiem,baby,,
1085,dosyć,enough,,
1086,ciągu,within,,
1087,wspaniały,magnificent,,
1088,policję,police,,
1089,mimo,despite,,
1090,twarzy,facial,,
1091,chryste,christ,,
1092,hotelu,hotel,,
1093,znajdę,I will find,,
1094,obiad,dinner,,
1095,mary,bier,,
1096,szukam,I am looking,,
1097,pytania,questions,,
1098,pies,dog,,
1099,interes,business,,
1100,pokażę,I will show,,
1101,ponownie,again,,
1102,bogu,god,,
1103,pamiętaj,remember,,
1104,ludźmi,people,,
1105,jorku,York City,,
1106,ludziom,people,,
1107,każdej,every,,
1108,puść,let go,,
1109,pewny,sure,,
1110,zła,bad,,
1111,dostaniesz,you will get,,
1112,usiądź,sit down,,
1113,siadaj,sit down,,
1114,walki,fight,,
1115,reszta,rest,,
1116,miły,nice,,
1117,żoną,wife,,
1118,robił,he did,,
1119,uciec,escape,,
1120,paul,paul,,
1121,żartujesz,you're kidding,,
1122,tygodnie,weeks,,
1123,poszedł,gone,,
1124,niezły,good enough,,
1125,powinna,She should,,
1126,jakiego,what,,
1127,uwielbiam,I love,,
1128,małą,little,,
1129,filmu,video,,
1130,niektórzy,some,,
1131,wejdź,visit,,
1132,szpitala,hospital,,
1133,zamiar,intention,,
1134,słychać,be heard,,
1135,milionów,millions,,
1136,przyjaciółmi,friends,,
1137,mogłeś,you could,,
1138,wojna,war,,
1139,ogień,fire,,
1140,pójdziesz,you go,,
1141,zająć,hare,,
1142,kapitan,captain,,
1143,słyszałam,I heard,,
1144,zrobiłam,I did,,
1145,odkąd,since,,
1146,dobrego,good,,
1147,oboje,both,,
1148,uh,uh,,
1149,potrafi,can,,
1150,sekund,seconds,,
1151,pójdziemy,we go,,
1152,obawiam,I'm afraid,,
1153,gotowe,finished,,
1154,cel,objective,,
1155,prezent,gift,,
1156,psa,dog,,
1157,musiała,He had,,
1158,kobietę,woman,,
1159,samej,same,,
1160,mnóstwo,lots of,,
1161,dostałem,I got,,
1162,patrzcie,Look,,
1163,przyjaciela,friend,,
1164,don,don,,
1165,kolację,dinners,,
1166,śmieszne,funny,,
1167,świetny,excellent,,
1168,pewne,some,,
1169,znaczenia,meaning,,
1170,pięknie,beautiful,,
1171,centrum,center,,
1172,próbuję,try,,
1173,przyjacielu,friend,,
1174,bob,broad bean,,
1175,statek,ship,,
1176,zjeść,eat,,
1177,coraz,and,,
1178,dowiedzieć,learn,,
1179,ładnie,nice,,
1180,stoi,standing,,
1181,ostrożnie,carefully,,
1182,chłopiec,boy,,
1183,ciekawe,interesting,,
1184,duże,big,,
1185,boisz,are you afraid,,
1186,siły,strength,,
1187,jeść,eat,,
1188,jadę,I'm going,,
1189,znajdziemy,we find,,
1190,póki,while,,
1191,kobiet,women,,
1192,powód,reason,,
1193,james,james,,
1194,resztę,the rest,,
1195,musieli,They have,,
1196,przestać,stop,,
1197,szczerze,honestly,,
1198,potrafisz,can,,
1199,robotę,job,,
1200,zobaczę,I'll see,,
1201,wierzysz,you believe,,
1202,dole,the bottom,,
1203,dostał,He get,,
1204,lepsze,better,,
1205,znalazł,found,,
1206,stan,state,,
1207,odpowiedź,reply,,
1208,in,in,,
1209,słuchać,listen,,
1210,pomyśl,idea,,
1211,dobrą,Okay,,
1212,twoi,your,,
1213,yeah,yeah,,
1214,sporo,quite a few,,
1215,miesiąc,month,,
1216,martwy,dead,,
